Card Name,Percent of decks that play this card,Avg copies in those decks,Deck winrate,Times played
Doomguard,1.5,1.8,60.2,2,400
Nightshade Matron,1.1,1.9,61.6,2,300
Upgrade!,1.2,1.7,59.9,2,300
Leeroy Jenkins,3.4,1,61.9,2,300
Educated Elekk,1.0,1.3,41.7,2,300
Twisted Knowledge,0.8,1.6,44.6,2,300
Arbor Up,1.1,1.9,57.1,2,300
Wax Elemental,0.9,1.9,37.9,2,300
Righteous Cause,0.9,1.9,63.3,2,300
Corsair Cache,0.9,1.6,48.4,2,300
Ironbark,0.7,1.8,45.0,2,300
Flik Skyshiv,1.6,1,52.1,2,300
Annoy-o-Tron,0.9,1.8,41.7,2,300
Minefield,0.9,1.6,48.2,2,300
Pressure Plate,1.4,1.3,57.4,2,300
Argent Horserider,0.8,1.9,72.5,2,300
Explosive Trap,1.4,1.5,55.9,2,300
Arcane Amplifier,1.0,1.4,52.7,2,300
Inconspicuous Rider,1.0,1.4,57.1,2,300
Toxic Reinforcements,1.0,1.7,55.8,2,300
Hellfire,1.2,1.4,52.2,2,300
Goody Two-Shields,1.0,1.8,56.7,2,200
Lightning Storm,1.0,1.6,46.4,2,200
Scrap Golem,1.0,1.7,45.1,2,200
Rinling's Rifle,1.7,1,64.3,2,200
Warsong Wrangler,1.0,1.8,59.4,2,200
Cascading Disaster,2.8,1.5,55.4,2,200
Selective Breeder,0.8,1.7,49.0,2,200
Glowstone Technician,0.9,1.8,71.7,2,200
Lowly Squire,0.8,2,59.5,2,200
Bladestorm,1.0,1.6,48.6,2,200
Holy Nova,1.1,1.5,48.8,2,200
Reliquary of Souls,1.1,1,50.3,2,200
Ur'zul Horror,0.7,1.9,57.4,2,200
Ragnaros the Firelord,2.3,1,50.3,2,200
Twilight Drake,1.0,1.3,53.0,2,200
Daring Escape,1.2,1.8,56.7,2,200
Illidari Felblade,0.9,1.9,59.6,2,200
Cobalt Spellkin,1.4,1.4,46.3,2,200
Combustion,1.0,1.5,53.8,2,200
Radiant Elemental,0.8,1.6,50.0,2,200
Springpaw,0.7,1.8,47.1,2,200
EVIL Totem,0.9,1.7,57.6,2,200
Shadowjeweler Hanar,1.2,1,48.1,2,200
Claw Machine,1.1,1.5,48.8,2,200
Overflow,1.2,1.6,52.3,2,200
Hex,1.1,1.5,51.5,2,200
Mana Cyclone,0.9,1.5,55.3,2,200
Blackjack Stunner,0.8,1.6,49.5,2,100
Mountain Giant,0.8,1.6,55.3,2,100
Flash of Light,0.7,1.8,43.0,2,100
Bluegill Warrior,0.9,1.7,56.6,2,100
Deathstalker Rexxar,1.8,1,55.8,2,100
Acidic Swamp Ooze,1.4,1.2,50.6,2,100
Catrina Muerte,2.0,1,52.0,2,100
Jade Behemoth,0.6,1.9,50.4,2,100
Oasis Ally,1.0,1.3,59.2,2,100
Cone of Cold,0.8,1.7,44.0,2,100
Marrowslicer,0.8,1.8,48.0,2,100
Stitched Tracker,1.0,1.4,55.4,2,100
Thorngrowth Sentries,0.8,1.9,45.9,2,100
Wrathscale Naga,0.8,1.9,57.8,2,100
Old Murk-Eye,2.3,1,67.9,2,100
Wriggling Horror,0.9,1.7,59.7,2,100
Varden Dawngrasp,1.6,1,57.3,2,100
Keywarden Ivory,1.5,1,49.6,2,100
Spirit of the Dragonhawk,0.9,1.6,58.4,2,100
N'Zoth's First Mate,1.0,1.9,63.5,2,100
Shield Slam,0.9,1.8,45.8,2,000
Warpath,0.9,1.6,50.4,2,000
Aranasi Broodmother,1.2,1.6,49.8,2,000
Firebrand,0.8,1.5,56.3,2,000
Flamestrike,1.3,1.3,49.9,2,000
Tome of Intellect,0.7,1.5,47.9,2,000
Fogsail Freebooter,0.9,1.8,64.8,2,000
Mana Tide Totem,0.8,1.6,49.1,2,000
Youthful Brewmaster,1.1,1.6,48.8,2,000
Psychopomp,0.8,1.7,49.8,2,000
Bone Wraith,0.9,1.5,48.0,2,000
Stage Dive,0.7,1.7,52.1,2,000
Lab Partner,0.6,1.7,55.9,2,000
Freezing Trap,1.1,1.6,53.1,2,000
Armorsmith,0.7,1.8,41.4,2,000
Frightened Flunky,0.6,1.7,48.5,2,000
Felstalker,0.7,1.9,58.6,2,000
Town Crier,0.7,1.5,54.3,2,000
Skybarge,0.9,2,68.0,2,000
Lushwater Murcenary,0.9,1.7,67.4,2,000
Malygos the Spellweaver,2.1,1,49.7,2,000
Guardian Augmerchant,1.0,1.6,53.1,2,000
Sandhoof Waterbearer,0.9,1.5,48.9,2,000
Tenwu of the Red Smoke,1.4,1,53.6,1,900
Swashburglar,0.6,1.6,52.9,1,900
Acidic Swamp Ooze,1.4,1.1,48.5,1,900
Kronx Dragonhoof,1.8,1,54.0,1,900
Siamat,1.7,1,52.9,1,900
The Lich King,2.0,1,52.2,1,900
Pogo-Hopper,0.3,1.9,44.2,1,900
